台北市年度旅運人次資料
年度,國立故宮博物院,臺北市立美術館,國民革命忠烈祠,國立歷史博物館,國立臺灣科學教育館,國立臺灣藝術教育館,臺北市立動物園,臺北市立天文科學教育館,國立國父紀念館,士林官邸公園,順益台灣原住民博物館,陽明公園(陽明山),臺北228紀念館,國立中正紀念堂,臺北自來水園區,龍山寺,關渡自然公園,台北當代藝術館,北投溫泉博物館,林語堂故居,台北探索館,凱達格蘭文化館,台北101,美麗華摩天輪,林安泰古厝民俗文物館,臺北市孔廟,梅庭,臺北市立兒童新樂園,西門紅樓,草山行館,寶藏巖,芝山文化生態綠園,華山1914文化創意產業園區,國立臺灣博物館,松山文創園區,台北植物園,大龍峒保安宮,台北霞海城隍廟,白石湖吊橋,北投公園露天溫泉浴池,信義公民會館,台北國際藝術村,臺北市電影主題公園,糖廍文化園區,新芳春茶行,新北投車站,圓山別莊,臺北流行音樂中心,臺北表演藝術中心,行天宮,西門町商圈
2005年,2637076,463751,244250,342276,1350242,322178,3108112,823154,4217104,1545992,22887,1787000,32377,3964172,329870,1783073,83210,93241,151304,14394,200358,47334,921433,1256419,141352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,1995845,375730,275300,242844,1829549,333174,3460300,761559,2780567,1427305,26238,2231000,29128,10213994,253759,2358508,95272,81381,181581,17222,231531,76295,1190411,762696,113778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,2650551,446738,277300,601292,1804536,336022,3345815,718016,2597699,1573374,24895,2219600,30306,11379230,479353,2128155,108125,89975,149385,13037,172734,261258,1312832,628311,154050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,2244284,441540,325152,1028751,1448441,346414,3284443,638130,4105019,1624410,21621,1706000,25411,5473929,629098,1816361,96771,134778,214331,16474,152163,187045,1091069,467615,184623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,2574804,1144319,628905,744113,884216,307684,3673564,650606,4808614,1584245,19620,2006000,34231,6890135,980560,577356,112583,214167,291296,15992,182674,116494,1356833,469483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,3441238,1291681,1400796,655682,1658074,307767,2808110,616831,6124293,2095629,22087,1858600,21487,7130446,1178489,277264,118259,360292,315022,15067,185577,183561,1819542,450480,0,300125,237474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,3822938,1342849,1623625,732907,2864856,284109,2710720,737184,7877796,1540470,20058,1550300,36745,7143950,1233948,267503,113496,202864,377871,11353,187532,201480,1914730,440377,44755,400100,257474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,4360815,339275,1473139,710153,2321727,304539,2967234,689034,14969535,1622620,19143,1721400,50159,6410872,1158807,1780313,139319,178058,483093,18483,215161,339913,2259659,358141,114967,447719,297057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,4437359,360927,1736893,587311,2202450,349485,3222768,658197,7462671,1633235,0,1827000,0,6307737,1142083,2662195,126733,189669,488854,0,261147,251560,2256705,341884,0,479451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,5426223,495354,1591856,358271,2326609,331572,4222083,679682,6880087,1815657,0,1881400,0,6627161,1314187,2406032,131611,236812,540010,0,259691,247455,2840835,338378,0,490097,0,142683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
